bugid	bugName	predicted	groundTruth
119	Closure_51	if ((long) x == x && x < 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (Integer) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && x >= 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isNaN(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == y) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isNaN(x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x!= x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (TextUtils.isEmpty(x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && value > 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(long) x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Long.valueOf(x) == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (Long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((double) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x && x!= 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && x < = 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && x > 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isInfinite(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == Long.MAX_VALUE) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && x < 2) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((Long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((Integer) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == ((long) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x && x >= 2) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == -x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == (long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (float) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((String) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x!= 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 1000) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) == 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == Math.abs(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (double) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	null if ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == prev) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 10) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (double) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x - 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long) x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (double) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (TextUtils.isEmpty(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (prev == '-') {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((Number) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (long)x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x / 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) < 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isInfinite(x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ( (long) x == (long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(long) x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x + 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((String) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isInfinite(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == value) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == null) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ( (long) x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (.longValue() == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Double.isNaN(x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (double)x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) < 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (float) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == (double) x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == this.x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == -x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ( (long) x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) < = 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 10) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) > 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == X) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) == 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 1000) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (X.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x - 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((Number) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (double x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) >= 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x < = x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (Math.abs(x) < 100) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ( (long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == -1 ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(double) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (! (long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	If ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	"if ( "" "".equals(x)) {"	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x + 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x  == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) y == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (X.equals(x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x >= x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == prev) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(x == x) ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (.longValue() == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == value) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == X) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == null) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (prev == '-') {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == -1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	If ((long) x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) value == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == length) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(x == x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == (long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x  == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (X.equals(x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (y == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ( x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x ) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (this.x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x < 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(x == x)) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (-x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x!= -1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) value == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if ((long) x == 1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (double x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x!= x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == -1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == y) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (_x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (y == y) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (value == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x < = 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x!= -1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (value == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x < = x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (y == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (o == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x < 0) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (!(long) x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == -1) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	If (x == x) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == X) {	if ((long) x == x &&!isNegativeZero(x)) {
119	Closure_51	if (x == 0) {	if ((long) x == x &&!isNegativeZero(x)) {
722	Math_57	int sum = 0;	double sum = 0;
722	Math_57	Integer sum = 0;	double sum = 0;
722	Math_57	int sum = 1;	double sum = 0;
722	Math_57	Integer sum = 0;	double sum = 0;
722	Math_57	/*int sum = 0*/;	double sum = 0;
722	Math_57	/* int sum = 0*/;	double sum = 0;
722	Math_57	boolean sum = 0;	double sum = 0;
722	Math_57	final int sum = 0;	double sum = 0;
722	Math_57	int sum = -1;	double sum = 0;
722	Math_57	nearest.getSum() = 0;	double sum = 0;
722	Math_57	/* int sum = 0*/;	double sum = 0;
722	Math_57	dx2[i] = 0;	double sum = 0;
722	Math_57	/*int sum = 0*/;	double sum = 0;
722	Math_57	final double sum = 0;	double sum = 0;
722	Math_57	nearest.setSum = 0;	double sum = 0;
722	Math_57	int sum = 0, sum = 0;	double sum = 0;
722	Math_57	nearest.getCenter().clear();	double sum = 0;
722	Math_57	nearest.getSize() = 0;	double sum = 0;
722	Math_57	float sum = 0;	double sum = 0;
722	Math_57	nearest.getCenter() = null;	double sum = 0;
722	Math_57	nearest.getCenter() == null;	double sum = 0;
722	Math_57	int sum = k;	double sum = 0;
722	Math_57	int sum = dx2[i];	double sum = 0;
722	Math_57	int sum = 0;	double sum = 0;
722	Math_57	long sum = 0;	double sum = 0;
722	Math_57	int sum = 2;	double sum = 0;
722	Math_57	int sum = 0; i++;	double sum = 0;
722	Math_57	nan	double sum = 0;
722	Math_57	synchronized int sum = 0;	double sum = 0;
722	Math_57	//Integer sum = 0;	double sum = 0;
722	Math_57	boolean sum = 0, sum = 0;	double sum = 0;
722	Math_57	nearest.size() = 0;	double sum = 0;
722	Math_57	nearest = null;	double sum = 0;
722	Math_57	&& d!= null;	double sum = 0;
722	Math_57	int sum = k - 1;	double sum = 0;
722	Math_57	nearest.setCenter(nearest);	double sum = 0;
722	Math_57	/* int sum = 0*/	double sum = 0;
722	Math_57	&& d!= 0;	double sum = 0;
722	Math_57	Iterator < T> sum = 0;	double sum = 0;
722	Math_57	// Integer sum = 0;	double sum = 0;
722	Math_57	byte[] sum = new double[k];	double sum = 0;
722	Math_57	int sum = new double[k];	double sum = 0;
722	Math_57	/* FIXME*/	double sum = 0;
722	Math_57	int sum = k * d;	double sum = 0;
722	Math_57	/* int sum = 0 */;	double sum = 0;
722	Math_57	/*int sum = 0*/	double sum = 0;
722	Math_57	double sum = 0;	double sum = 0;
722	Math_57	int sum = Double.NaN;	double sum = 0;
722	Math_57	if (k!= 0) return;	double sum = 0;
722	Math_57	if (k == 0) return;	double sum = 0;
722	Math_57	/*int sum = 0 */;	double sum = 0;
722	Math_57	int sum = k & 0;	double sum = 0;
722	Math_57	resultSet.size() = 0;	double sum = 0;
722	Math_57	nearest.getCenter();	double sum = 0;
722	Math_57	t sum = 0;	double sum = 0;
722	Math_57	/* int sum = 0;*/	double sum = 0;
722	Math_57	resultSet.size() = k;	double sum = 0;
722	Math_57	if (k > 0) return null;	double sum = 0;
722	Math_57	nearest.setSum();	double sum = 0;
722	Math_57	nearest.clearClusters();	double sum = 0;
722	Math_57	boolean sum = false;	double sum = 0;
722	Math_57	nearest.getCenter()!= null	double sum = 0;
722	Math_57	Nearest sum = 0;	double sum = 0;
722	Math_57	if (k > 0) return 0;	double sum = 0;
722	Math_57	if (k > 0) { return; }	double sum = 0;
722	Math_57	double sum = 0;	double sum = 0;
722	Math_57	int sum = 0 ;	double sum = 0;
722	Math_57	nearest.getCenter() > 0;	double sum = 0;
722	Math_57	+= d * d;	double sum = 0;
722	Math_57	nearest.setPosition(k);	double sum = 0;
722	Math_57	Integer sum = 1;	double sum = 0;
722	Math_57	/*nearest.getCenter() */	double sum = 0;
722	Math_57	/*nearest.getCenter()*/	double sum = 0;
722	Math_57	resultSet.clear();	double sum = 0;
722	Math_57	nearest.getCenter().close();	double sum = 0;
722	Math_57	if (k == 0) continue;	double sum = 0;
722	Math_57	&& d == null;	double sum = 0;
722	Math_57	// int sum = 0;	double sum = 0;
722	Math_57	nearest.setSum(0);	double sum = 0;
722	Math_57	int sum = 0 - k;	double sum = 0;
722	Math_57	short sum = 0;	double sum = 0;
722	Math_57	nearest.getCenter() = 0;	double sum = 0;
722	Math_57	&& d == 0;	double sum = 0;
722	Math_57	int sum = (double) k;	double sum = 0;
722	Math_57	nearest.setCenter(k);	double sum = 0;
722	Math_57	//int sum = 0;	double sum = 0;
722	Math_57	if (k > 0) return;	double sum = 0;
722	Math_57	int sum = 1;	double sum = 0;
722	Math_57	int sum = -k;	double sum = 0;
722	Math_57	nearest.setSum(0);	double sum = 0;
722	Math_57	byte[] sum = 0;	double sum = 0;
722	Math_57	nearest.getMemory();	double sum = 0;
722	Math_57	dx2[i] = d;	double sum = 0;
722	Math_57	float sum = 0;	double sum = 0;
722	Math_57	NullPointer sum = null;	double sum = 0;
722	Math_57	IntBuffer sum = 0;	double sum = 0;
722	Math_57	nearest.reset();	double sum = 0;
722	Math_57	nearest.getCenter() = k;	double sum = 0;
722	Math_57	Integer sum = 1;	double sum = 0;
722	Math_57	: int sum = 0;	double sum = 0;
722	Math_57	static int sum = 0;	double sum = 0;
722	Math_57	void sum = 0;	double sum = 0;
722	Math_57	if (k > 0) continue;	double sum = 0;
722	Math_57	; int sum = 0;	double sum = 0;
722	Math_57	int sum = 0, sum = 1;	double sum = 0;
722	Math_57	nearest.size() = k;	double sum = 0;
722	Math_57	nearest.getBottom();	double sum = 0;
722	Math_57	nearestSize = 0;	double sum = 0;
722	Math_57	if (k > 0) break;	double sum = 0;
722	Math_57	// int sum = 0;	double sum = 0;
722	Math_57	Float sum = 0;	double sum = 0;
722	Math_57	nearest.setSize(k);	double sum = 0;
722	Math_57	int sum = -1;	double sum = 0;
722	Math_57	Integer sum = -1;	double sum = 0;
722	Math_57	nearest.clear();	double sum = 0;
722	Math_57	nearest.clearCluster();	double sum = 0;
722	Math_57	/* FIXME */	double sum = 0;
722	Math_57	Offset sum = 0;	double sum = 0;
722	Math_57	boolean sum = 0;	double sum = 0;
722	Math_57	bucket sum = 0;	double sum = 0;
722	Math_57	Bucket sum = 0;	double sum = 0;
722	Math_57	nearest.getSum();	double sum = 0;
722	Math_57	Double sum = 0;	double sum = 0;
722	Math_57	int sum = -2;	double sum = 0;
722	Math_57	int sum = -0;	double sum = 0;
722	Math_57	nearest.setCenter();	double sum = 0;
722	Math_57	int sum = 0; return;	double sum = 0;
722	Math_57	int sum = 100;	double sum = 0;
722	Math_57	/* FIXME*/	double sum = 0;
722	Math_57	int sum = i;	double sum = 0;
722	Math_57	int sum = 3;	double sum = 0;
722	Math_57	ong sum = 0;	double sum = 0;
722	Math_57	this.sum = 0;	double sum = 0;
722	Math_57	resultSet.size();	double sum = 0;
722	Math_57	int sum = k;	double sum = 0;
722	Math_57	Offset sum = 0;	double sum = 0;
722	Math_57	int sum = = 0;	double sum = 0;
722	Math_57	final double sum = 0;	double sum = 0;
722	Math_57	T sum = 0;	double sum = 0;
722	Math_57	sum = 0;	double sum = 0;
722	Math_57	setSum = 0;	double sum = 0;
722	Math_57	Long sum = 0;	double sum = 0;
722	Math_57	Object sum = 0;	double sum = 0;
722	Math_57	int sum = -100;	double sum = 0;
722	Math_57	nearest.setCenter(0);	double sum = 0;
722	Math_57	(int) k;	double sum = 0;
722	Math_57	nearest = 0;	double sum = 0;
722	Math_57	int sum = 0.0;	double sum = 0;
722	Math_57	total = 0;	double sum = 0;
722	Math_57	t sum = 1;	double sum = 0;
722	Math_57	var sum = 0;	double sum = 0;
722	Math_57	long sum = 0;	double sum = 0;
722	Math_57	Exception sum = 0;	double sum = 0;
722	Math_57	int sum = 10;	double sum = 0;
722	Math_57	T sum = 0;	double sum = 0;
722	Math_57	nearest.close();	double sum = 0;
722	Math_57	int sum = 0.01;	double sum = 0;
722	Math_57	i = 0;	double sum = 0;
722	Math_57	int sum = null;	double sum = 0;
722	Math_57	nearest = k;	double sum = 0;
722	Math_57	0, sum = 0;	double sum = 0;
722	Math_57	int sum = 4;	double sum = 0;
722	Math_57	int sum = 2;	double sum = 0;
722	Math_57	Sum = 0;	double sum = 0;
722	Math_57	int sum = 1000;	double sum = 0;
722	Math_57	t sum = -1;	double sum = 0;
722	Math_57	int sum = a;	double sum = 0;
722	Math_57	Short sum = 0;	double sum = 0;
722	Math_57	int sum = d;	double sum = 0;
722	Math_57	nearest.getCenter()	double sum = 0;
722	Math_57	int sum = 5;	double sum = 0;
722	Math_57	int sum = 200;	double sum = 0;
722	Math_57	max = 0;	double sum = 0;
722	Math_57	t sum = k;	double sum = 0;
722	Math_57	set sum = 0;	double sum = 0;
722	Math_57	Number sum = 0;	double sum = 0;
722	Math_57	null = null;	double sum = 0;
722	Math_57	++sum;	double sum = 0;
722	Math_57	++ sum;	double sum = 0;
722	Math_57	t sum = 2;	double sum = 0;
722	Math_57	sum = 1;	double sum = 0;
722	Math_57	: 0;	double sum = 0;
722	Math_57	return 0;	double sum = 0;
722	Math_57	Sum = 0;	double sum = 0;
722	Math_57	offset = 0;	double sum = 0;
722	Math_57	sum = -1;	double sum = 0;
722	Math_57	|= 0;	double sum = 0;
722	Math_57	int sum;	double sum = 0;
722	Math_57	= 0;	double sum = 0;
722	Math_57	++k;	double sum = 0;
722	Math_57	i++;	double sum = 0;
722	Math_57	sum = 2;	double sum = 0;
722	Math_57	;	double sum = 0;
722	Math_57	--;	double sum = 0;
722	Math_57	(0);	double sum = 0;
722	Math_57	;	double sum = 0;
722	Math_57	0;	double sum = 0;
722	Math_57	continue;	double sum = 0;
722	Math_57	%20;	double sum = 0;
722	Math_57	null;	double sum = 0;
670	Math_5	? NaN : NaN;	return INF;
670	Math_5	? NaN : ONE;	return INF;
670	Math_5	/* NaN*/	return INF;
670	Math_5	? NaN : ZERO;	return INF;
670	Math_5	? NaN : INF.ONE;	return INF;
