Closure_168   src/com/google/javascript/jscomp/TypedScopeCreator.java:1996
Compress_19   src/main/java/org/apache/commons/compress/archivers/zip/Zip64ExtendedInformationExtraField.java:259
Identical to human-written patches  replace 1 line(s)
-   if  (rawCentralDirectoryData.length  !=  expectedLength)  {  
+     if (rawCentralDirectoryData.length < expectedLength) {

JacksonDatabind_24   src/main/java/com/fasterxml/jackson/databind/cfg/BaseSettings.java:234
Identical to human-written patches  replace 2 line(s)
-   TimeZone  tz  =  (df  ==  null)  ?  _timeZone  :  df.getTimeZone();  tz,  _defaultBase64);  
+     _timeZone, _defaultBase64);

JacksonDatabind_83 src/main/java/com/fasterxml/jackson/databind/deser/std/FromStringDeserializer.java:119
Identical to human-written patches  remove 1 line(s)
-   if  (_deserialize(text,  ctxt)  !=  null)  {  
+ 

Collections_26 src/main/java/org/apache/commons/collections4/keyvalue/MultiKey.java:277
Semantical equivalent to human-written patches  add line(s)   
- private Object readResolve() {
+ Object  readResolve()  {
developer patch:
+ protected  Object  readResolve()  {

JacksonDatabind_46  src/main/java/com/fasterxml/jackson/databind/type/ReferenceType.java 156
Semantical equivalent to human-written patches  add line(s)   
+     sb.append('>');

developer patch:
-     sb.append(';');
+     sb.append(">;");

Jsoup_86 src/main/java/org/jsoup/nodes/Comment.java 78
Semantical equivalent to human-written patches  replace 1 line(s)   
- if (doc.childNodeSize() > 0) {
+ if  (!doc.children().isEmpty())  {
developer patch:
+ if  (doc.children().size()  >  0)  {
