bugid	bug	buggy	patch	lineNo	action
695	Math_30	buggy:    final    int    n1n2prod    =    n1    *    n2;    context:    private    double    calculateAsymptoticPValue(final    double    Umin,    final    int    n1,    final    int    n2)    throws    ConvergenceException,    MaxCountExceededException    {            final    int    n1n2prod    =    n1    *    n2;    final    double    EU    =    n1n2prod    /    2.0;    final    double    VarU    =    n1n2prod    *    (n1    +    n2    +    1)    /    12.0;    final    double    z    =    (Umin    -    EU)    /    FastMath.sqrt(VarU);    final    NormalDistribution    standardNormal    =    new    NormalDistribution(0,    1);    	final    double    n1n2prod    =    n1    *    n2;    	173	replace
668	Math_3	buggy:    context:    public    static    double    linearCombination(final    double[]    a,    final    double[]    b)    throws    DimensionMismatchException    {    final    int    len    =    a.length;    if    (len    !=    b.length)    {    throw    new    DimensionMismatchException(len,    b.length);    }    final    double[]    prodHigh    =    new    double[len];    double    prodLowSum    =    0;    for    (int    i    =    0;    i    <    len;    i++)    {    final    double    ai    =    a[i];    	if    (len    ==    1)    {    return    a[0]    *    b[0];    }    	821	add
645	Lang_45	buggy:    context:    if    (str    ==    null)    {    return    null;    }    if    (str.length()    ==    0)    {    return    StringUtils.EMPTY;    }    if    (upper    ==    -1    ||    upper    >    str.length())    {    upper    =    str.length();    }    if    (upper    <    lower)    {    	if    (lower    >    str.length())    {    lower    =    str.length();    }    	616	add
11	Chart_11	buggy:    PathIterator    iterator2    =    p1.getPathIterator(null);    context:    if    (p1    ==    null)    {    return    (p2    ==    null);    }    if    (p2    ==    null)    {    return    false;    }    if    (p1.getWindingRule()    !=    p2.getWindingRule())    {    return    false;    }    PathIterator    iterator1    =    p1.getPathIterator(null);            PathIterator    iterator2    =    p1.getPathIterator(null);    double[]    d1    =    new    double[6];    double[]    d2    =    new    double[6];    boolean    done    =    iterator1.isDone()    &&    iterator2.isDone();    while    (!done)    {    if    (iterator1.isDone()    !=    iterator2.isDone())    {    return    false;    }    int    seg1    =    iterator1.currentSegment(d1);    	PathIterator    iterator2    =    p2.getPathIterator(null);    	275	replace
173	Closure_107	buggy:    context:    }    else    if    (CompilationLevel.ADVANCED_OPTIMIZATIONS    ==    level)    {    options.messageBundle    =    new    EmptyMessageBundle();    }    return    options;    }    protected    Compiler    createCompiler()    {    return    new    Compiler(getErrorPrintStream());    }    	options.setWarningLevel(JsMessageVisitor.MSG_CONVENTIONS,    CheckLevel.OFF);    	862	add
654	Lang_54	buggy:    context:    if    (ch0    <    'a'    ||    ch0    >    'z'    ||    ch1    <    'a'    ||    ch1    >    'z')    {    throw    new    IllegalArgumentException(   "Invalid    locale    format:       "    +    str);    }    if    (len    ==    2)    {    return    new    Locale(str,       "   ");    }    else    {    if    (str.charAt(2)    !=    '_')    {    throw    new    IllegalArgumentException(   "Invalid    locale    format:       "    +    str);    }    char    ch3    =    str.charAt(3);    char    ch4    =    str.charAt(4);    if    (ch3    <    'A'    ||    ch3    >    'Z'    ||    ch4    <    'A'    ||    ch4    >    'Z')    {    throw    new    IllegalArgumentException(   "Invalid    locale    format:       "    +    str);    }    if    (len    ==    5)    {    return    new    Locale(str.substring(0,    2),    str.substring(3,    5));    }    else    {    	if    (ch3    ==    '_')    {    return    new    Locale(str.substring(0,    2),       "   ",    str.substring(4));    }    	114	add
87	Closure_19	buggy:    context:    case    Token.GETPROP:    String    qualifiedName    =    node.getQualifiedName();    Preconditions.checkNotNull(qualifiedName);    JSType    origType    =    node.getJSType();    origType    =    origType    ==    null    ?    getNativeType(UNKNOWN_TYPE)    :    origType;    scope.inferQualifiedSlot(node,    qualifiedName,    origType,    type);    break;    default:    throw    new    IllegalArgumentException(   "Node    cannot    be    refined.    \n   "    +    node.toStringTree());    }    }    	case    Token.THIS:    break;    	172	add
676	Math_11	buggy:    return    FastMath.pow(2    *    FastMath.PI,    -dim    /    2)    *    context:    return    covarianceMatrix.copy();    }    public    double    density(final    double[]    vals)    throws    DimensionMismatchException    {    final    int    dim    =    getDimension();    if    (vals.length    !=    dim)    {    throw    new    DimensionMismatchException(vals.length,    dim);    }            return    FastMath.pow(2    *    FastMath.PI,    -dim    /    2)    *    FastMath.pow(covarianceMatrixDeterminant,    -0.5)    *    getExponentTerm(vals);    }    	return    FastMath.pow(2    *    FastMath.PI,    -0.5    *    dim)    *    	183	replace
644	Lang_44	buggy:    context:    public    static    Number    createNumber(String    val)    throws    NumberFormatException    {    if    (val    ==    null)    {    return    null;    }    if    (val.length()    ==    0)    {    throw    new    NumberFormatException(   "\   "\   "    is    not    a    valid    number.   ");    }    if    (val.startsWith(   "--   "))    {    return    null;    }    	if    (val.length()    ==    1    &&    !Character.isDigit(val.charAt(0)))    {    throw    new    NumberFormatException(val    +       "    is    not    a    valid    number.   ");    }    	145	add
628	Lang_28	buggy:    context:    try    {    if(isHex)    {    entityValue    =    Integer.parseInt(input.subSequence(start,    end).toString(),    16);    }    else    {    entityValue    =    Integer.parseInt(input.subSequence(start,    end).toString(),    10);    }    }    catch(NumberFormatException    nfe)    {    return    0;    }    out.write(entityValue);    return    2    +    (end    -    start)    +    (isHex    ?    1    :    0)    +    1;    }    return    0;    	if(entityValue    >    0xFFFF)    {    char[]    chrs    =    Character.toChars(entityValue);    out.write(chrs[0]);    out.write(chrs[1]);    }    else    {    }    	63	add
189	Closure_123	buggy:    Context    rhsContext    =    Context.OTHER;    context:    cc.addOp(NodeUtil.opToStrNoFail(type),    false);    addExpr(first,    NodeUtil.precedence(type),    Context.OTHER);    }    break;    }    case    Token.HOOK:    {    Preconditions.checkState(childCount    ==    3);    int    p    =    NodeUtil.precedence(type);            Context    rhsContext    =    Context.OTHER;    addExpr(first,    p    +    1,    context);    cc.addOp(   "?   ",    true);    addExpr(first.getNext(),    1,    rhsContext);    cc.addOp(   ":   ",    true);    addExpr(last,    1,    rhsContext);    break;    }    	Context    rhsContext    =    getContextForNoInOperator(context);    	285	replace
643	Lang_43	buggy:    context:    private    StringBuffer    appendQuotedString(String    pattern,    ParsePosition    pos,    StringBuffer    appendTo,    boolean    escapingOn)    {    int    start    =    pos.getIndex();    char[]    c    =    pattern.toCharArray();    if    (escapingOn    &&    c[start]    ==    QUOTE)    {    return    appendTo    ==    null    ?    null    :    appendTo.append(QUOTE);    }    int    lastHold    =    start;    for    (int    i    =    pos.getIndex();    i    <    pattern.length();    i++)    {    if    (escapingOn    &&    pattern.substring(i).startsWith(ESCAPED_QUOTE))    {    appendTo.append(c,    lastHold,    pos.getIndex()    -    lastHold).append(    QUOTE);    pos.setIndex(i    +    ESCAPED_QUOTE.length());    lastHold    =    pos.getIndex();    	next(pos);    	422	add
167	Closure_101	buggy:    if    (flags.process_closure_primitives)    {    options.closurePass    =    true;    }    context:    level.setOptionsForCompilationLevel(options);    if    (flags.debug)    {    level.setDebugOptionsForCompilationLevel(options);    }    WarningLevel    wLevel    =    flags.warning_level;    wLevel.setOptionsForWarningLevel(options);    for    (FormattingOption    formattingOption    :    flags.formatting)    {    formattingOption.applyToOptions(options);    }    if    (flags.process_closure_primitives)    {        options.closurePass    =    true;    }    initOptionsFromFlags(options);    return    options;    }    	options.closurePass    =    flags.process_closure_primitives;    	433	replace
734	Math_69	buggy:    out[i][j]    =    2    *    (1    -    tDistribution.cumulativeProbability(t));    context:    TDistribution    tDistribution    =    new    TDistributionImpl(nObs    -    2);    int    nVars    =    correlationMatrix.getColumnDimension();    double[][]    out    =    new    double[nVars][nVars];    for    (int    i    =    0;    i    <    nVars;    i++)    {    for    (int    j    =    0;    j    <    nVars;    j++)    {    if    (i    ==    j)    {    out[i][j]    =    0d;    }    else    {    double    r    =    correlationMatrix.getEntry(i,    j);    double    t    =    Math.abs(r    *    Math.sqrt((nObs    -    2)/(1    -    r    *    r)));                    out[i][j]    =    2    *    (1    -    tDistribution.cumulativeProbability(t));    }    }    }    return    new    BlockRealMatrix(out);    }    	out[i][j]    =    2    *    tDistribution.cumulativeProbability(-t);    	171	replace
735	Math_70	buggy:    return    solve(min,    max);    context:    public    double    solve(double    min,    double    max)    throws    MaxIterationsExceededException,    FunctionEvaluationException    {    return    solve(f,    min,    max);    }    public    double    solve(final    UnivariateRealFunction    f,    double    min,    double    max,    double    initial)    throws    MaxIterationsExceededException,    FunctionEvaluationException    {            return    solve(min,    max);    }    public    double    solve(final    UnivariateRealFunction    f,    double    min,    double    max)    throws    MaxIterationsExceededException,    FunctionEvaluationException    {    clearResult();    verifyInterval(min,max);    	return    solve(f,    min,    max);    	72	replace
624	Lang_24	buggy:    return    foundDigit    &&    !hasExp;    context:    if    (!allowSigns    &&    (chars[i]    ==    'd'    ||    chars[i]    ==    'D'    ||    chars[i]    ==    'f'    ||    chars[i]    ==    'F'))    {    return    foundDigit;    }    if    (chars[i]    ==    'l'    ||    chars[i]    ==    'L')    {            return    foundDigit    &&    !hasExp;    }    return    false;    }    return    !allowSigns    &&    foundDigit;    }    	return    foundDigit    &&    !hasExp    &&    !hasDecPoint;    	1413	replace
609	Lang_9	buggy:    context:    break;    }    String    nextFormatField=    patternMatcher.group();    nextStrategy    =    getStrategy(nextFormatField);    if(currentStrategy.addRegex(this,    regex))    {    collector.add(currentStrategy);    }    currentFormatField=    nextFormatField;    currentStrategy=    nextStrategy;    }    if(currentStrategy.addRegex(this,    regex))    {    collector.add(currentStrategy);    }    currentFormatField=    null;    strategies=    collector.toArray(new    Strategy[collector.size()]);    parsePattern=    Pattern.compile(regex.toString());    }    	if    (patternMatcher.regionStart()    !=    patternMatcher.regionEnd())    {    throw    new    IllegalArgumentException(   "Failed    to    parse    \   "   "+pattern+   "\   "    ;    gave    up    at    index       "+patternMatcher.regionStart());    }    	144	add
86	Closure_18	buggy:    if    (options.dependencyOptions.needsManagement()    &&    options.closurePass)    {    context:    if    (options.transformAMDToCJSModules    ||    options.processCommonJSModules)    {    processAMDAndCommonJSModules();    }    hoistExterns(externsRoot);    boolean    staleInputs    =    false;        if    (options.dependencyOptions.needsManagement()    &&    options.closurePass)    {    for    (CompilerInput    input    :    inputs)    {    for    (String    provide    :    input.getProvides())    {    getTypeRegistry().forwardDeclareType(provide);    }    }    	if    (options.dependencyOptions.needsManagement())    {    	1288	replace
659	Lang_59	buggy:    str.getChars(0,    strLen,    buffer,    size);    context:    public    StrBuilder    appendFixedWidthPadRight(Object    obj,    int    width,    char    padChar)    {    if    (width    >    0)    {    ensureCapacity(size    +    width);    String    str    =    (obj    ==    null    ?    getNullText()    :    obj.toString());    int    strLen    =    str.length();    if    (strLen    >=    width)    {            str.getChars(0,    strLen,    buffer,    size);    }    else    {    int    padLen    =    width    -    strLen;    str.getChars(0,    strLen,    buffer,    size);    for    (int    i    =    0;    i    <    padLen;    i++)    {    buffer[size    +    strLen    +    i]    =    padChar;    }    }    size    +=    width;    	str.getChars(0,    width,    buffer,    size);    	884	replace
815	Mockito_18	buggy:    context:    Class<?>    returnType    =    invocation.getMethod().getReturnType();    return    returnValueFor(returnType);    }    Object    returnValueFor(Class<?>    type)    {    if    (Primitives.isPrimitiveOrWrapper(type))    {    return    Primitives.defaultValueForPrimitiveOrWrapper(type);    }    else    if    (type    ==    Collection.class)    {    return    new    LinkedList<Object>();    }    else    if    (type    ==    Set.class)    {    return    new    HashSet<Object>();    }    else    if    (type    ==    HashSet.class)    {    return    new    HashSet<Object>();    }    else    if    (type    ==    SortedSet.class)    {    return    new    TreeSet<Object>();    	}    else    if    (type    ==    Iterable.class)    {    return    new    ArrayList<Object>(0);    	87	add
101	Closure_33	buggy:    context: private final String className properties nativeType  boolean matchesObjectContext()  boolean canBeCalled()  boolean isPrettyPrint() {  public ObjectType getImplicitPrototype() public boolean hasReferenceName() }   public boolean isSubtype(JSType that) {  for    (Property    prop    :    properties.values())    {    prop.setType(safeResolve(prop.getType(),    t,    scope));    }    return    this;    }    public    void    matchConstraint(ObjectType    constraintObj)    {    	if    (hasReferenceName())    {    return;    }    	557	add
699	Math_34	buggy:    return    chromosomes.iterator();    context:    return    this.chromosomes.toString();    }    public    Iterator<Chromosome>    iterator()    {            return    chromosomes.iterator();    }    }    	return    getChromosomes().iterator();    	209	replace
740	Math_75	buggy:    return    getCumPct((Comparable<?>)    v);    context:    public    double    getPct(Object    v)    {            return    getCumPct((Comparable<?>)    v);    }    	return    getPct((Comparable<?>)    v);    	303	replace
134	Closure_67	buggy:    )    {    context:    return    t.inGlobalScope()    &&    (NodeUtil.isFunctionDeclaration(n)    ||    n.getType()    ==    Token.FUNCTION    &&    n.getParent().getType()    ==    Token.NAME);    }    private    boolean    isPrototypePropertyAssign(Node    assign)    {    Node    n    =    assign.getFirstChild();    if    (n    !=    null    &&    NodeUtil.isVarOrSimpleAssignLhs(n,    assign)    &&    n.getType()    ==    Token.GETPROP        )    {    boolean    isChainedProperty    =    n.getFirstChild().getType()    ==    Token.GETPROP;    if    (isChainedProperty)    {    Node    child    =    n.getFirstChild().getFirstChild().getNext();    if    (child.getType()    ==    Token.STRING    &&    	&&    assign.getParent().getType()    ==    Token.EXPR_RESULT)    {    	318	replace
137	Closure_70	buggy:    jsDocParameter.getJSType(),    true);    context:    Node    astParameters    =    functionNode.getFirstChild().getNext();    Node    body    =    astParameters.getNext();    FunctionType    functionType    =    (FunctionType)    functionNode.getJSType();    if    (functionType    !=    null)    {    Node    jsDocParameters    =    functionType.getParametersNode();    if    (jsDocParameters    !=    null)    {    Node    jsDocParameter    =    jsDocParameters.getFirstChild();    for    (Node    astParameter    :    astParameters.children())    {    if    (jsDocParameter    !=    null)    {    defineSlot(astParameter,    functionNode,                jsDocParameter.getJSType(),    true);    jsDocParameter    =    jsDocParameter.getNext();    }    else    {    defineSlot(astParameter,    functionNode,    null,    true);    }    }    }    }    }    //    end    declareArguments    	jsDocParameter.getJSType(),    false);    	1745	replace
24	Chart_24	buggy:    int    g    =    (int)    ((value    -    this.lowerBound)    /    (this.upperBound    context:    public    Paint    getPaint(double    value)    {    double    v    =    Math.max(value,    this.lowerBound);    v    =    Math.min(v,    this.upperBound);            int    g    =    (int)    ((value    -    this.lowerBound)    /    (this.upperBound    this.lowerBound)    *    255.0);    return    new    Color(g,    g,    g);    }    	int    g    =    (int)    ((v    -    this.lowerBound)    /    (this.upperBound    	126	replace
83	Closure_15	buggy:    context:    if    (n.isCall()    &&    NodeUtil.functionCallHasSideEffects(n))    {    return    true;    }    if    (n.isNew()    &&    NodeUtil.constructorCallHasSideEffects(n))    {    return    true;    }    for    (Node    c    =    n.getFirstChild();    c    !=    null;    c    =    c.getNext())    {    if    (!ControlFlowGraph.isEnteringNewCfgNode(c)    &&    apply(c))    {    return    true;    }    }    return    false;    	if    (n.isDelProp())    {    return    true;    }    	102	add
786	Time_15	buggy:    context:    public    static    long    safeMultiply(long    val1,    int    val2)    {    switch    (val2)    {    case    -1:    return    -val1;    case    0:    return    0L;    case    1:    return    val1;    }    long    total    =    val1    *    val2;    	if    (val1    ==    Long.MIN_VALUE)    {    throw    new    ArithmeticException(   "Multiplication    overflows    a    long:       "    +    val1    +       "    *       "    +    val2);    }    	138	add
606	Lang_6	buggy:    pos    +=    Character.charCount(Character.codePointAt(input,    pos));    context:    int    consumed    =    translate(input,    pos,    out);    if    (consumed    ==    0)    {    char[]    c    =    Character.toChars(Character.codePointAt(input,    pos));    out.write(c);    pos+=    c.length;    continue;    }    for    (int    pt    =    0;    pt    <    consumed;    pt++)    {            pos    +=    Character.charCount(Character.codePointAt(input,    pos));    }    }    }    	pos    +=    Character.charCount(Character.codePointAt(input,    pt));    	95	replace
130	Closure_62	buggy:    &&    0    <=    charno    &&    charno    <    sourceExcerpt.length())    {    context:    b.append('\n');    if    (sourceExcerpt    !=    null)    {    b.append(sourceExcerpt);    b.append('\n');    int    charno    =    error.getCharno();    if    (excerpt.equals(LINE)        &&    0    <=    charno    &&    charno    <    sourceExcerpt.length())    {    for    (int    i    =    0;    i    <    charno;    i++)    {    char    c    =    sourceExcerpt.charAt(i);    if    (Character.isWhitespace(c))    {    b.append(c);    }    else    {    b.append('    ');    }    }    	&&    0    <=    charno    &&    charno    <=    sourceExcerpt.length())    {    	98	replace
747	Math_82	buggy:    if    (MathUtils.compareTo(entry,    0,    epsilon)    >=    0)    {    context:    private    Integer    getPivotRow(final    int    col,    final    SimplexTableau    tableau)    {    double    minRatio    =    Double.MAX_VALUE;    Integer    minRatioPos    =    null;    for    (int    i    =    tableau.getNumObjectiveFunctions();    i    <    tableau.getHeight();    i++)    {    final    double    rhs    =    tableau.getEntry(i,    tableau.getWidth()    -    1);    final    double    entry    =    tableau.getEntry(i,    col);            if    (MathUtils.compareTo(entry,    0,    epsilon)    >=    0)    {    final    double    ratio    =    rhs    /    entry;    if    (ratio    <    minRatio)    {    minRatio    =    ratio;    minRatioPos    =    i;    }    }    }    return    minRatioPos;    	if    (MathUtils.compareTo(entry,    0,    epsilon)    >    0)    {    	82	replace
826	Mockito_29	buggy:    description.appendText(wanted.toString());    context:    this.wanted    =    wanted;    }    public    boolean    matches(Object    actual)    {    return    wanted    ==    actual;    }    public    void    describeTo(Description    description)    {    description.appendText(   "same(   ");    appendQuoting(description);            description.appendText(wanted.toString());    appendQuoting(description);    description.appendText(   ")   ");    }    private    void    appendQuoting(Description    description)    {    if    (wanted    instanceof    String)    {    description.appendText(   "\   "   ");    }    else    if    (wanted    instanceof    Character)    {    	description.appendText(wanted    ==    null    ?       "null   "    :    wanted.toString());    	29	replace
738	Math_73	buggy:    context:    if    (Math.abs(yMax)    <=    functionValueAccuracy)    {    setResult(yMax,    0);    return    result;    }    if    (yInitial    *    yMax    <    0)    {    return    solve(f,    initial,    yInitial,    max,    yMax,    initial,    yInitial);    }    return    solve(f,    min,    yMin,    max,    yMax,    initial,    yInitial);    }    	if    (yMin    *    yMax    >    0)    {    throw    MathRuntimeException.createIllegalArgumentException(    NON_BRACKETING_MESSAGE,    min,    max,    yMin,    yMax);    }    	136	add
179	Closure_113	buggy:    if    (provided    !=    null)    {    context:    }    maybeAddToSymbolTable(left);    maybeAddStringNodeToSymbolTable(arg);        if    (provided    !=    null)    {    parent.detachFromParent();    compiler.reportCodeChange();    }    }    }    	if    (provided    !=    null    ||    requiresLevel.isOn())    {    	329	replace
119	Closure_51	buggy:    if    ((long)    x    ==    x)    {    context:    }    void    addNumber(double    x)    {    char    prev    =    getLastChar();    if    (x    <    0    &&    prev    ==    '-')    {    add(   "       ");    }    if    ((long)    x    ==    x)    {    long    value    =    (long)    x;    long    mantissa    =    value;    int    exp    =    0;    if    (Math.abs(x)    >=    100)    {    while    (mantissa    /    10    *    Math.pow(10,    exp    +    1)    ==    value)    {    mantissa    /=    10;    exp++;    }    	if    ((long)    x    ==    x    &&    !isNegativeZero(x))    { 	241	replace
186	Closure_120	buggy:    context:    boolean    isAssignedOnceInLifetime()    {    Reference    ref    =    getOneAndOnlyAssignment();    if    (ref    ==    null)    {    return    false;    }    for    (BasicBlock    block    =    ref.getBasicBlock();    block    !=    null;    block    =    block.getParent())    {    if    (block.isFunction)    {    break;    }    else    if    (block.isLoop)    {    return    false;    }    }    return    true;    	if    (ref.getSymbol().getScope()    !=    ref.scope)    {    return    false;    }    	431	add
831	Mockito_34	buggy:    if    (m    instanceof    CapturesArguments)    {    context:    return    invocation.getLocation();    }    public    String    toString(PrintSettings    printSettings)    {    return    invocation.toString(matchers,    printSettings);    }    public    void    captureArgumentsFrom(Invocation    i)    {    int    k    =    0;    for    (Matcher    m    :    matchers)    {            if    (m    instanceof    CapturesArguments)    {    ((CapturesArguments)    m).captureFrom(i.getArguments()[k]);    }    k++;    }    }    }    \    No    newline    at    end    of    file    	if    (m    instanceof    CapturesArguments    &&    i.getArguments().length    >    k)    {    	106	replace
722	Math_57	buggy:    int    sum    =    0;    context:    final    List<Cluster<T>>    resultSet    =    new    ArrayList<Cluster<T>>();    final    T    firstPoint    =    pointSet.remove(random.nextInt(pointSet.size()));    resultSet.add(new    Cluster<T>(firstPoint));    final    double[]    dx2    =    new    double[pointSet.size()];    while    (resultSet.size()    <    k)    {            int    sum    =    0;    for    (int    i    =    0;    i    <    pointSet.size();    i++)    {    final    T    p    =    pointSet.get(i);    final    Cluster<T>    nearest    =    getNearestCluster(resultSet,    p);    final    double    d    =    p.distanceFrom(nearest.getCenter());    sum    +=    d    *    d;    dx2[i]    =    sum;    }    	double    sum    =    0;    	175	replace
184	Closure_118	buggy:    context:    }    private    void    handleObjectLit(NodeTraversal    t,    Node    n)    {    for    (Node    child    =    n.getFirstChild();    child    !=    null;    child    =    child.getNext())    {    String    name    =    child.getString();    T    type    =    typeSystem.getType(getScope(),    n,    name);    Property    prop    =    getProperty(name);    if    (!prop.scheduleRenaming(child,    	if    (child.isQuotedString())    {    continue;    }    	495	add
3	Chart_3	buggy:    context:    public    TimeSeries    createCopy(int    start,    int    end)    throws    CloneNotSupportedException    {    if    (start    <    0)    {    throw    new    IllegalArgumentException(   "Requires    start    >=    0.   ");    }    if    (end    <    start)    {    throw    new    IllegalArgumentException(   "Requires    start    <=    end.   ");    }    TimeSeries    copy    =    (TimeSeries)    super.clone();    copy.data    =    new    java.util.ArrayList();    if    (this.data.size()    >    0)    {    for    (int    index    =    start;    index    <=    end;    index++)    {    TimeSeriesDataItem    item    =    (TimeSeriesDataItem)    this.data.get(index);    TimeSeriesDataItem    clone    =    (TimeSeriesDataItem)    item.clone();    try    {    copy.add(clone);    	copy.minY    =    Double.NaN;    copy.maxY    =    Double.NaN;    	1057	add
