bugid	bug	buggy	patch	lineNo	action
11	wicket_204849bc	buggy:  public  int  getCompatibilityScore(Request  request)  {  if  (urlStartsWith(request.getUrl(),  mountSegments))  {  int  countOptional  =  0;  int  fixedSegments  =  0;  for  (MountPathSegment  pathSegment  :  pathSegments)  {  fixedSegments  +=  pathSegment.getFixedPartSize();  countOptional  +=  pathSegment.getOptionalParameters();  }  return  mountSegments.length  -  countOptional  +  fixedSegments;  }  else  {  return  0;  }  }  context:  protected  boolean  pageMustHaveBeenCreatedBookmarkable()  {  return  false;  }  public  int  getCompatibilityScore(Request  request)  {  if  (urlStartsWith(request.getUrl(),  mountSegments))  {  /*  see  WICKET-5056  -  alter  score  with  pathSegment  type  */  int  countOptional  =  0;  int  fixedSegments  =  0;  for  (MountPathSegment  pathSegment  :  pathSegments)  {  fixedSegments  +=  pathSegment.getFixedPartSize();  	public  abstract  int  getCompatibilityScore(Request  request);  	274	replace-18
12	wicket_1b7afefc	buggy:  context:  log.warn( "component  not  enabled  or  visible;  ignoring  call.  Component:   "  +  component);  return;  }  if  (!behavior.isEnabled((Component)component))  {  log.warn( "behavior  not  enabled;  ignore  call.  Behavior  {}  at  component  {} ",  behavior,  component);  }  try  {  method.invoke(behavior,  new  Object[]  {  });  }  catch  (InvocationTargetException  e)  {  	return;  	258	add
13	jackrabbit-oak_c02ecef8	buggy:  setValues((Iterable<T>)  property.getValue(type.getArrayType()));  setValue(property.getValue(type));  context:  }  public  PropertyBuilder<T>  assignFrom(PropertyState  property)  {  if  (property  !=  null)  {  setName(property.getName());  if  (property.isArray())  {  isArray  =  true;      setValues((Iterable<T>)  property.getValue(type.getArrayType()));  }  else  {  isArray  =  false;  	if  (type  ==  Type.DATE)  {  setValues((Iterable<T>)  property.getValue(Type.STRINGS));  }  else  {  setValues((Iterable<T>)  property.getValue(type.getArrayType()));  }  if  (type  ==  Type.DATE)  {  setValue((T)  property.getValue(Type.STRING));  }  else  {  setValue(property.getValue(type));  }  	226	replace-2
14	commons-math_bb005b56	buggy:  out[i][j]  =  2  *  (1  -  tDistribution.cumulativeProbability(t));  context:  TDistribution  tDistribution  =  new  TDistributionImpl(nObs  -  2);  int  nVars  =  correlationMatrix.getColumnDimension();  double[][]  out  =  new  double[nVars][nVars];  for  (int  i  =  0;  i  <  nVars;  i++)  {  for  (int  j  =  0;  j  <  nVars;  j++)  {  if  (i  ==  j)  {  out[i][j]  =  0d;  }  else  {  double  r  =  correlationMatrix.getEntry(i,  j);  double  t  =  Math.abs(r  *  Math.sqrt((nObs  -  2)/(1  -  r  *  r)));          out[i][j]  =  2  *  (1  -  tDistribution.cumulativeProbability(t));  }  }  }  return  new  BlockRealMatrix(out);  }  	out[i][j]  =  2  *  tDistribution.cumulativeProbability(-t);  	171	replace-1
15	flink_937963e3	buggy:  context:  }  Execution  exec  =  vertex.getTaskVertices()[state.getSubtask()]  .getCurrentExecutionAttempt();  exec.setInitialState(state.getState(),  recoveryTimestamp);  }  long  nextCheckpointId  =  checkpoint.getCheckpointID();  checkpointIdCounter.setCount(nextCheckpointId  +  1);  LOG.info( "Reset  the  checkpoint  ID  to  {} ",  nextCheckpointId);  this.appId  =  savepoint.getApplicationId();  LOG.info( "Reset  the  application  ID  to  {} ",  appId);  return  appId;  }  }  	checkpointIdCounter.start();  	233	add
16	camel_e7ac45b6	buggy:  if  (uri.contains( "& ")  &&  !uri.contains( "? "))  {  throw  new  ResolveEndpointFailedException(uri,   "Invalid  uri  syntax:  no  ?  marker  however  the  uri   "  +   "has  &  parameter  separators.  Check  the  uri  if  its  missing  a  ?  marker. ");  }    context:  protected  void  validateURI(String  uri,  String  path,  Map<String,  Object>  parameters)  {      //  check  for  uri  containing  &  but  no  ?  marker      if  (uri.contains( "& ")  &&  !uri.contains( "? "))  {      throw  new  ResolveEndpointFailedException(uri,   "Invalid  uri  syntax:  no  ?  marker  however  the  uri   "      +   "has  &  parameter  separators.  Check  the  uri  if  its  missing  a  ?  marker. ");      }  if  (uri.contains( "&& "))  {  Pattern  pattern  =  Pattern.compile( "RAW(.*&&.*) ");  Matcher  m  =  pattern.matcher(uri);  		200	remove-5
17	jackrabbit-oak_08f0b280	buggy:  cp.setProperty( "timestamp ",  now  +  lifetime);  context:  for  (String  n  :  checkpoints.getChildNodeNames())  {  NodeBuilder  cp  =  checkpoints.getChildNode(n);  PropertyState  ts  =  cp.getProperty( "timestamp ");  if  (ts  ==  null  ||  ts.getType()  !=  LONG  ||  now  >  ts.getValue(LONG))  {  cp.remove();  }  }  NodeBuilder  cp  =  checkpoints.child(name);      cp.setProperty( "timestamp ",  now  +  lifetime);  cp.setProperty( "created ",  now);  NodeBuilder  props  =  cp.setChildNode( "properties ");  for  (Entry<String,  String>  p  :  properties.entrySet())  {  	if  (Long.MAX_VALUE  -  now  >  lifetime)  {  cp.setProperty( "timestamp ",  now  +  lifetime);  }  else  {  cp.setProperty( "timestamp ",  Long.MAX_VALUE);  }  	407	replace-1
18	jackrabbit-oak_eabb4066	buggy:  left.setLimit(limit);  right.setLimit(limit);  context:  r[i]  =  o.createCopy();  }  left.setOrderings(l);  right.setOrderings(r);  this.orderings  =  orderings;  }  public  void  setLimit(long  limit)  {  this.limit  =  limit;      left.setLimit(limit);      right.setLimit(limit);  }  public  void  setOffset(long  offset)  {  this.offset  =  offset;  	applyLimitOffset();  applyLimitOffset();  }    private  void  applyLimitOffset()  {  long  subqueryLimit  =  QueryImpl.saturatedAdd(limit,  offset);  left.setLimit(subqueryLimit);  right.setLimit(subqueryLimit);  	94	replace-2
19	flink_d90672fd	buggy:  hasher.putString(node.getOperatorName(),  Charset.forName( "UTF-8 "));    context:  private  void  generateNodeLocalHash(StreamNode  node,  Hasher  hasher,  int  id)  {  hasher.putInt(id);  hasher.putInt(node.getParallelism());  hasher.putString(node.getOperatorName(),  Charset.forName( "UTF-8 "));  if  (node.getOperator()  instanceof  AbstractUdfStreamOperator)  {  String  udfClassName  =  ((AbstractUdfStreamOperator<?,  ?>)  node.getOperator())  .getUserFunction().getClass().getName();  hasher.putString(udfClassName,  Charset.forName( "UTF-8 "));  }  }  }  		739	remove-2
20	wicket_ccb8fc9e	buggy:  String  id  =  tag.getId();  if  (id.equals(INLINE_ENCLOSURE_ID_PREFIX))  {  id  =  id  +  container.getPage().getAutoIndex();  }  context:  return  tag.getAttributes().getString(INLINE_ENCLOSURE_ATTRIBUTE_NAME);  }  public  Component  resolve(final  MarkupContainer  container,  final  MarkupStream  markupStream,  final  ComponentTag  tag)  {  String  inlineEnclosureChildId  =  getInlineEnclosureAttribute(tag);  if  (Strings.isEmpty(inlineEnclosureChildId)  ==  false)  {  String  id  =  tag.getId();  if  (id.equals(INLINE_ENCLOSURE_ID_PREFIX))  {  id  =  id  +  container.getPage().getAutoIndex();  }  return  new  InlineEnclosure(id,  inlineEnclosureChildId);  }  	String  id  =  tag.getId()  +  container.getPage().getAutoIndex();  	179	replace-5
21	wicket_0cf14725	buggy:  private  static  final  String  emailPattern  =   "[\\w\\.-]+@[\\w\\.-]+ ";  context:  public  class  DefaultLinkParser  extends  LinkParser  {  private  static  final  String  emailPattern  =   "[\\w\\.-]+@[\\w\\.-]+ ";  private  static  final  String  urlPattern  =   "([a-zA-Z]+://[\\w\\.\\-\\:\\/~]+)[\\w\\.:\\-/?&=%]* ";  	private  static  final  String  emailPattern  =   "[\\w\\.-\\\\+]+@[\\w\\.-]+ ";  	32	replace-1
22	wicket_2abc18f1	buggy:  context:  tag.append( "class ",   "tree-node ",   "   ");  }  public  void  afterRender(Component  component)  {  Response  response  =  component.getResponse();  for  (int  i  =  0;  i  <  branches.length;  i++)  {  response.write( "</div> ");  }  }  }  	if  (i  >  0)  {  response.write( "</div> ");  }  	86	add
23	jackrabbit-oak_b6f89048	buggy:  next  =  (lane  <  OrderedIndex.LANES)  ?  ps.getValue(Type.STRING,  lane)  :   " ";  context:  static  String  getPropertyNext(@Nonnull  final  NodeState  state,  final  int  lane)  {  String  next  =   " ";  PropertyState  ps  =  state.getProperty(NEXT);  if  (ps  !=  null)  {      next  =  (lane  <  OrderedIndex.LANES)  ?  ps.getValue(Type.STRING,  lane)                :   " ";  }  return  next;  }  	if  (ps.isArray())  {  next  =  ps.getValue(Type.STRING,  Math.min(ps.count()  -  1,  lane));  }  else  {  next  =  ps.getValue(Type.STRING);  }  	1024	replace-2
24	logging-log4j2_50e19247	buggy:  final  String  prot  =  protocol  !=  null  ?  protocol  :  Protocol.TCP.name();  final  Protocol  p  =  EnglishEnums.valueOf(Protocol.class,  protocol);  context:  Layout<S>  l  =  (Layout<S>)  SerializedLayout.createLayout();  layout  =  l;  }  if  (name  ==  null)  {  LOGGER.error( "No  name  provided  for  SocketAppender ");  return  null;  }      final  String  prot  =  protocol  !=  null  ?  protocol  :  Protocol.TCP.name();      final  Protocol  p  =  EnglishEnums.valueOf(Protocol.class,  protocol);  if  (p.equals(Protocol.UDP))  {  isFlush  =  true;  }  final  AbstractSocketManager  manager  =  createSocketManager(p,  host,  port,  reconnectDelay,  fail,  layout);  if  (manager  ==  null)  {  return  null;  	final  Protocol  p  =  EnglishEnums.valueOf(Protocol.class,  protocol  !=  null  ?  protocol  :  Protocol.TCP.name());  	118	replace-2
25	logging-log4j2_1461f1f6	buggy:  toAppendTo.append(config  !=  null  &&  result.contains( "${ ")  ?  config.getSubst().replace(event,  result)  :  result);  context:  public  void  format(final  LogEvent  event,  final  StringBuilder  toAppendTo)  {  final  Message  msg  =  event.getMessage();  if  (msg  !=  null)  {  String  result;  if  (msg  instanceof  MultiformatMessage)  {  result  =  ((MultiformatMessage)  msg).getFormattedMessage(formats);  }  else  {  result  =  msg.getFormattedMessage();  }      toAppendTo.append(config  !=  null  &&  result.contains( "${ ")  ?      config.getSubst().replace(event,  result)  :  result);  }  }  	if  (result  !=  null)  {  toAppendTo.append(config  !=  null  &&  result.contains( "${ ")  ?  config.getSubst().replace(event,  result)  :  result);  }  else  {  toAppendTo.append( "null ");  }  	70	replace-2
26	logging-log4j2_e9b628ec	buggy:  if  (!inEsc)  {  inEsc  =  false;  context:  final  int  start  =  text.indexOf(EVENT_START_MARKER,  beginIndex);  if  (start  ==  END)  {  return  END_PAIR;  }  final  char[]  charArray  =  text.toCharArray();  int  stack  =  0;  boolean  inStr  =  false;  boolean  inEsc  =  false;  for  (int  i  =  start;  i  <  charArray.length;  i++)  {  final  char  c  =  charArray[i];      if  (!inEsc)  {      inEsc  =  false;  switch  (c)  {  case  EVENT_START_MARKER:  if  (!inStr)  {  stack++;  	if  (inEsc)  {  inEsc  =  false;  }  else  {  	58	replace-2
27	wicket_925cae5c	buggy:  context:  httpServletResponse.getWriter().write(   "<ajax-response><redirect><![CDATA[ "  +  url  +   "]]></redirect></ajax-response> ");  setContentType( "text/xml;charset= "  +  webRequest.getContainerRequest().getCharacterEncoding());  disableCaching();  }  else  {  httpServletResponse.sendRedirect(url);  }  	if  (url.startsWith( "./ "))  {  url  =  url.substring(2);  }  	230	add
28	wicket_295e73bd	buggy:  }  context:  AppendingStringBuffer  filter(AppendingStringBuffer  responseBuffer);  }  \  No  newline  at  end  of  file  	}import  org.apache.wicket.response.StringResponse;  private  void  contructResponseBody(final  Response  bodyResponse,  final  String  encoding)  {  bodyResponse.write( "<?xml  version=\ "1.0\ "  encoding=\ " ");  bodyResponse.write(encoding);  bodyResponse.write( "\ "?> ");  bodyResponse.write( "<ajax-response> ");    fireOnBeforeRespondListeners();    Iterator<CharSequence>  it  =  prependJavaScripts.iterator();  while  (it.hasNext())  {  CharSequence  js  =  it.next();  respondInvocation(bodyResponse,  js);  }    respondComponents(bodyResponse);    fireOnAfterRespondListeners(bodyResponse);    it  =  domReadyJavaScripts.iterator();  while  (it.hasNext())  {  CharSequence  js  =  it.next();  respondInvocation(bodyResponse,  js);  }  it  =  appendJavaScripts.iterator();  while  (it.hasNext())  {  CharSequence  js  =  it.next();  respondInvocation(bodyResponse,  js);  }    bodyResponse.write( "</ajax-response> ");  }    private  void  invokeResponseFilters(final  StringResponse  contentResponse)  {  AppendingStringBuffer  responseBuffer  =  new  AppendingStringBuffer(  contentResponse.getBuffer());    List<IResponseFilter>  responseFilters  =  Application.get()  .getRequestCycleSettings()  .getResponseFilters();    if  (responseFilters  !=  null)  {  for  (IResponseFilter  filter  :  responseFilters)  {  filter.filter(responseBuffer);  }  }  }    	46	replace-1
29	maven_b92af0e4	buggy:  context:  if  (  metadata  ==  null  )  {  metadata  =  this.metadata;  changed  =  true;  }  else  {  changed  =  metadata.merge(  this.metadata  );  }  if  (  changed  )  	  String  version  =  metadata.getVersion();  if  (  version  !=  null  &&  (  Artifact.LATEST_VERSION.equals(  version  )  ||  Artifact.RELEASE_VERSION.equals(  version  )  )  )  {  changed  =  false;  }  	116	add
30	camel_4ed448c7	buggy:  context:  public  void  updateRouteFromXml(String  xml)  throws  Exception  {  RouteDefinition  def  =  ModelHelper.createModelFromXml(xml,  RouteDefinition.class);  if  (def  ==  null)  {  return;  }  context.addRouteDefinition(def);  }  	if  (ObjectHelper.isEmpty(def.getId()))  {  def.setId(getRouteId());  }  else  if  (!def.getId().equals(getRouteId()))  {  throw  new  IllegalArgumentException( "Cannot  update  route  from  XML  as  routeIds  does  not  match.  routeId:   "  +  getRouteId()  +   ",  routeId  from  XML:   "  +  def.getId());  }    	236	add
31	wicket_ad849602	buggy:  if  (url.getPort()  !=  null  ||  !desired.usesStandardPort(config))  {  url.setPort(desired.getPort(config));  }  context:  {  Url  url  =  delegate.mapHandler(handler);  Scheme  desired  =  getDesiredSchemeFor(handler);  Scheme  current  =  getSchemeOf(request);  if  (!desired.isCompatibleWith(current))  {  url.setProtocol(desired.urlName());  if  (url.getPort()  !=  null  ||  !desired.usesStandardPort(config))  {  url.setPort(desired.getPort(config));  }  }  return  url;  }  	url.setPort(desired.getPort(config));  	173	replace-4
32	accumulo_be2fdba7	buggy:  MASTER_BULK_SERVERS( "master.bulk.server.max ",   "4 ",  PropertyType.COUNT,   "The  number  of  servers  to  use  during  a  bulk  load "),  context:   "The  balancer  class  that  accumulo  will  use  to  make  tablet  assignment  and  migration  decisions. "),  MASTER_LOGGER_BALANCER( "master.logger.balancer ",   "org.apache.accumulo.server.master.balancer.SimpleLoggerBalancer ",  PropertyType.CLASSNAME,   "The  balancer  class  that  accumulo  will  use  to  make  logger  assignment  decisions. "),  MASTER_RECOVERY_REDUCERS( "master.recovery.reducers ",   "10 ",  PropertyType.COUNT,   "Number  of  reducers  to  use  to  sort  recovery  logs  (per  log) "),  MASTER_RECOVERY_MAXAGE( "master.recovery.max.age ",   "60m ",  PropertyType.TIMEDURATION,   "Recovery  files  older  than  this  age  will  be  removed. "),  MASTER_RECOVERY_MAXTIME( "master.recovery.time.max ",   "30m ",  PropertyType.TIMEDURATION,   "The  maximum  time  to  attempt  recovery  before  giving  up "),  MASTER_RECOVERY_QUEUE( "master.recovery.queue ",   "default ",  PropertyType.STRING,   "Priority  queue  to  use  for  log  recovery  map/reduce  jobs. "),  MASTER_RECOVERY_POOL( "master.recovery.pool ",   "recovery ",  PropertyType.STRING,   "Priority  queue  to  use  for  log  recovery  map/reduce  jobs. "),  MASTER_RECOVERY_SORT_MAPREDUCE( "master.recovery.sort.mapreduce ",   "false ",  PropertyType.BOOLEAN,   "If  true,  use  map/reduce  to  sort  write-ahead  logs  during  recovery "),    MASTER_BULK_SERVERS( "master.bulk.server.max ",   "4 ",  PropertyType.COUNT,   "The  number  of  servers  to  use  during  a  bulk  load "),  MASTER_BULK_RETRIES( "master.bulk.retries ",   "3 ",  PropertyType.COUNT,   "The  number  of  attempts  to  bulk-load  a  file  before  giving  up. "),  MASTER_BULK_THREADPOOL_SIZE( "master.bulk.threadpool.size ",   "5 ",  PropertyType.COUNT,   "The  number  of  threads  to  use  when  coordinating  a  bulk-import. "),  MASTER_MINTHREADS( "master.server.threads.minimum ",   "2 ",  PropertyType.COUNT,   "The  minimum  number  of  threads  to  use  to  handle  incoming  requests. "),  MASTER_THREADCHECK( "master.server.threadcheck.time ",   "1s ",  PropertyType.TIMEDURATION,   "The  time  between  adjustments  of  the  server  thread  pool. "),  TSERV_PREFIX( "tserver. ",  null,  PropertyType.PREFIX,   "Properties  in  this  category  affect  the  behavior  of  the  tablet  servers "),  TSERV_CLIENT_TIMEOUT( "tserver.client.timeout ",   "3s ",  PropertyType.TIMEDURATION,   "Time  to  wait  for  clients  to  continue  scans  before  closing  a  session. "),  TSERV_DEFAULT_BLOCKSIZE( "tserver.default.blocksize ",   "1M ",  PropertyType.MEMORY,   "Specifies  a  default  blocksize  for  the  tserver  caches "),  		68	remove-1
33	jackrabbit-oak_039f892d	buggy:  if  (list.size()  >  max  *  2)  {  context:  }  ArrayList<K>  list  =  new  ArrayList<K>();  while  (source.hasNext())  {  K  x  =  source.next();  list.add(x);  checkMemoryLimit(list.size(),  settings);      //  this  should  results  in  O(n*log(2*keep))  operations,      if  (list.size()  >  max  *  2)  {  Collections.sort(list,  orderBy);  keepFirst(list,  max);  }  }  Collections.sort(list,  orderBy);  keepFirst(list,  max);  result  =  list.iterator();  	if  (list.size()  >  (long)  max  *  2)  {  	211	replace-1
34	logging-log4j2_7792679c	buggy:  final  Map<String,  Properties>  filters  =  PropertiesUtil.partitionOnCommonPrefixes(  PropertiesUtil.extractSubset(rootProperties,   "filter "));  for  (final  Map.Entry<String,  Properties>  entry  :  filters.entrySet())  {  builder.add(createFilter(entry.getKey().trim(),  entry.getValue()));  final  Map<String,  Properties>  appenders  =  PropertiesUtil.partitionOnCommonPrefixes(  PropertiesUtil.extractSubset(rootProperties,   "appender "));  for  (final  Map.Entry<String,  Properties>  entry  :  appenders.entrySet())  {  builder.add(createAppender(entry.getKey().trim(),  entry.getValue()));  final  Map<String,  Properties>  loggers  =  PropertiesUtil.partitionOnCommonPrefixes(  PropertiesUtil.extractSubset(rootProperties,   "logger "));  for  (final  Map.Entry<String,  Properties>  entry  :  loggers.entrySet())  {  final  String  name  =  entry.getKey().trim();  if  (!name.equals(LoggerConfig.ROOT))  {  builder.add(createLogger(name,  entry.getValue()));  context:  }  }  final  Properties  levelProps  =  PropertiesUtil.extractSubset(rootProperties,   "customLevel ");  if  (levelProps.size()  >  0)  {  for  (final  String  key  :  levelProps.stringPropertyNames())  {  builder.add(builder.newCustomLevel(key,  Integer.parseInt(levelProps.getProperty(key))));  }  }      final  Map<String,  Properties>  filters  =  PropertiesUtil.partitionOnCommonPrefixes(      PropertiesUtil.extractSubset(rootProperties,   "filter "));      for  (final  Map.Entry<String,  Properties>  entry  :  filters.entrySet())  {      builder.add(createFilter(entry.getKey().trim(),  entry.getValue()));  	String  filterProp  =  rootProperties.getProperty( "filters ");  if  (filterProp  !=  null)  {  String[]  filterNames  =  filterProp.split( ", ");  for  (String  filterName  :  filterNames)  {  String  name  =  filterName.trim();  builder.add(createFilter(name,  PropertiesUtil.extractSubset(rootProperties,   "filter. "  +  name)));  }  }  else  {    final  Map<String,  Properties>  filters  =  PropertiesUtil  .partitionOnCommonPrefixes(PropertiesUtil.extractSubset(rootProperties,   "filter "));  for  (final  Map.Entry<String,  Properties>  entry  :  filters.entrySet())  {  builder.add(createFilter(entry.getKey().trim(),  entry.getValue()));  }  String  appenderProp  =  rootProperties.getProperty( "appenders ");  if  (appenderProp  !=  null)  {  String[]  appenderNames  =  appenderProp.split( ", ");  for  (String  appenderName  :  appenderNames)  {  String  name  =  appenderName.trim();  builder.add(createAppender(appenderName.trim(),  PropertiesUtil.extractSubset(rootProperties,   "appender. "  +  name)));  }  }  else  {  final  Map<String,  Properties>  appenders  =  PropertiesUtil  .partitionOnCommonPrefixes(PropertiesUtil.extractSubset(rootProperties,   "appender "));  for  (final  Map.Entry<String,  Properties>  entry  :  appenders.entrySet())  {  builder.add(createAppender(entry.getKey().trim(),  entry.getValue()));  }  String  loggerProp  =  rootProperties.getProperty( "loggers ");  if  (loggerProp  !=  null)  {  String[]  loggerNames  =  loggerProp.split( ", ");  for  (String  loggerName  :  loggerNames)  {  String  name  =  loggerName.trim();  if  (!name.equals(LoggerConfig.ROOT))  {  builder.add(createLogger(name,  PropertiesUtil.extractSubset(rootProperties,   "logger. "  +  name)));  }  }  }  else  {  final  Map<String,  Properties>  loggers  =  PropertiesUtil  .partitionOnCommonPrefixes(PropertiesUtil.extractSubset(rootProperties,   "logger "));  for  (final  Map.Entry<String,  Properties>  entry  :  loggers.entrySet())  {  final  String  name  =  entry.getKey().trim();  if  (!name.equals(LoggerConfig.ROOT))  {  builder.add(createLogger(name,  entry.getValue()));  }  	123	replace-14
35	logging-log4j2_d3989b40	buggy:  try  {  clazz  =  Loader.initializeClass(className,  this.getClass().getClassLoader());  }  catch  (final  ClassNotFoundException  ignore)  {  return  null;  }  context:  if  (clazz  !=  null)  {  return  clazz;  }  }  catch  (final  Throwable  ignore)  {  }  }  try  {  clazz  =  Loader.loadClass(className);  }  catch  (final  ClassNotFoundException  ignored)  {      try  {      clazz  =  Loader.initializeClass(className,  this.getClass().getClassLoader());      }  catch  (final  ClassNotFoundException  ignore)  {      return  null;      }  }  return  clazz;  	return  initializeClass(className);  }  catch  (final  NoClassDefFoundError  ignored)  {  return  initializeClass(className);  private  Class<?>  initializeClass(final  String  className)  {  try  {  return  Loader.initializeClass(className,  this.getClass().getClassLoader());  }  catch  (final  ClassNotFoundException  ignore)  {  return  null;  }  catch  (final  NoClassDefFoundError  ignore)  {  return  null;  }  }    	454	replace-5
36	jackrabbit-oak_073b814c	buggy:  if  (nodeBuilder.isNew())  {  context:  protected  void  buildPath(StringBuilder  sb)  {  if  (!isRoot())  {  getParent().buildPath(sb);  sb.append('/').append(name);  }  }  public  Status  getStatus()  {      if  (nodeBuilder.isNew())  {  return  NEW;  }  else  if  (nodeBuilder.isModified())  {  return  MODIFIED;  }  else  {  return  UNCHANGED;  }  }  	if  (nodeBuilder.isNew()  ||  nodeBuilder.isReplaced())  {  	207	replace-1
