bugid	buggy	patch
elasticsearch_ce58723cc5b463097725c56aed70941cdb2aefb6	buggy:  fieldName  =  fieldMapper.indexName();  context:  JsonToken  token  =  jp.nextToken();  assert  token  ==  JsonToken.FIELD_NAME;  String  fieldName  =  jp.getCurrentName();  FieldMapper  fieldMapper  =  null;  MapperService.SmartNameFieldMappers  smartNameFieldMappers  =  parseContext.smartFieldMappers(fieldName);  if  (smartNameFieldMappers  !=  null)  {  if  (smartNameFieldMappers.hasMapper())  {  fieldMapper  =  smartNameFieldMappers.mapper();                  fieldName  =  fieldMapper.indexName();                  fieldName  =  fieldMapper.names().indexName();  }  }  token  =  jp.nextToken();  if  (token  !=  JsonToken.START_ARRAY)  {  throw  new  QueryParsingException(index,   "Terms  filter  must  define  the  terms  to  filter  on  as  an  array ");  }  	fieldName  =  fieldMapper.names().indexName();  
elasticsearch_bbd63f0ffef611842315044f4275a341ce7110cf	buggy:  assertThat(Lucene.count(searcher,  new  DeletionAwareConstantScoreQuery(cachedFilter,  true),  -1),  equalTo(0l));  context:  assertThat(Lucene.count(searcher,  new  FilteredQuery(new  MatchAllDocsQuery(),  filterCache.cache(new  TermFilter(new  Term( "id ",   "1 ")))),  -1),  equalTo(1l));  indexWriter.deleteDocuments(new  Term( "id ",   "1 "));  reader  =  refreshReader(reader);  searcher  =  new  IndexSearcher(reader);  TermFilter  filter  =  new  TermFilter(new  Term( "id ",   "1 "));  Filter  cachedFilter  =  filterCache.cache(filter);  long  constantScoreCount  =  filter  ==  cachedFilter  ?  0  :  1;  assertThat(Lucene.count(searcher,  new  ConstantScoreQuery(cachedFilter),  -1),  equalTo(constantScoreCount));          assertThat(Lucene.count(searcher,  new  DeletionAwareConstantScoreQuery(cachedFilter,  true),  -1),  equalTo(0l));          assertThat(Lucene.count(searcher,  new  DeletionAwareConstantScoreQuery(cachedFilter),  -1),  equalTo(0l));  assertThat(Lucene.count(searcher,  new  FilteredQuery(new  MatchAllDocsQuery(),  cachedFilter),  -1),  equalTo(0l));  indexWriter.close();  }  private  IndexReader  refreshReader(IndexReader  reader)  throws  IOException  {  IndexReader  oldReader  =  reader;  reader  =  reader.reopen();  	assertThat(Lucene.count(searcher,  new  DeletionAwareConstantScoreQuery(cachedFilter),  -1),  equalTo(0l));  
elasticsearch_8223418b049c6ce4daed46544db8eb8b969f3aa7	buggy:  pipeline.addLast( "decoder ",  new  MemcachedDecoder());  context:  serverBootstrap  =  new  ServerBootstrap(new  NioServerSocketChannelFactory(  Executors.newCachedThreadPool(daemonThreadFactory(settings,   "memcached_server_boss ")),  Executors.newCachedThreadPool(daemonThreadFactory(settings,   "memcached_server_worker ")),  workerCount));  }  ChannelPipelineFactory  pipelineFactory  =  new  ChannelPipelineFactory()  {  ChannelPipeline  pipeline  =  Channels.pipeline();  pipeline.addLast( "openChannels ",  serverOpenChannels);                  pipeline.addLast( "decoder ",  new  MemcachedDecoder());                  pipeline.addLast( "decoder ",  new  MemcachedDecoder(logger));  pipeline.addLast( "dispatcher ",  new  MemcachedDispatcher(restController));  return  pipeline;  }  };  serverBootstrap.setPipelineFactory(pipelineFactory);  if  (tcpNoDelay  !=  null)  {  	pipeline.addLast( "decoder ",  new  MemcachedDecoder(logger));  
elasticsearch_fc6bc4c4776a2f710f57616e3495aaf6a230c4d3	buggy:  Histogram.Bucket  bucket  =  histo.getByKey(1l);  context:  public  void  testEmptyAggregation()  throws  Exception  {  SearchResponse  searchResponse  =  client().prepareSearch( "empty_bucket_idx ")  .setQuery(matchAllQuery())  .addAggregation(histogram( "histo ").field( "value ").interval(1l).minDocCount(0).subAggregation(min( "min ")))  .execute().actionGet();  assertThat(searchResponse.getHits().getTotalHits(),  equalTo(2l));  Histogram  histo  =  searchResponse.getAggregations().get( "histo ");  assertThat(histo,  notNullValue());          Histogram.Bucket  bucket  =  histo.getByKey(1l);          Histogram.Bucket  bucket  =  histo.getBucketByKey(1l);  assertThat(bucket,  notNullValue());  Min  min  =  bucket.getAggregations().get( "min ");  assertThat(min,  notNullValue());  assertThat(min.getName(),  equalTo( "min "));  assertThat(min.getValue(),  equalTo(Double.POSITIVE_INFINITY));  }  	Histogram.Bucket  bucket  =  histo.getBucketByKey(1l);  
elasticsearch_e58930180693ca4505030d76bc417a45d3e7e273	buggy:  v.release();  context:  threads[i]  =  new  Thread()  {  public  void  run()  {  try  {  latch.await();  }  catch  (InterruptedException  e)  {  return;  }  while  (recycles.getAndDecrement()  >  0)  {  final  Recycler.V<?>  v  =  recycler.obtain();                          v.release();                          v.close();  }  }  };  }  for  (Thread  thread  :  threads)  {  thread.start();  }  final  long  start  =  System.nanoTime();  	v.close();  
elasticsearch_e1aa91dc81e4a489c3856e3cfda1a951c7f6535d	buggy:  HashSet<DiscoveryNode>  newNodes  =  new  HashSet<DiscoveryNode>();  context:  }  });  }  try  {  latch.await();  }  catch  (InterruptedException  e)  {  return;  }              HashSet<DiscoveryNode>  newNodes  =  new  HashSet<DiscoveryNode>();              HashSet<DiscoveryNode>  newNodes  =  new  HashSet<DiscoveryNode>(listedNodes);  for  (ClusterStateResponse  clusterStateResponse  :  clusterStateResponses)  {  if  (!ignoreClusterName  &&  !clusterName.equals(clusterStateResponse.getClusterName()))  {  }  for  (DiscoveryNode  node  :  clusterStateResponse.getState().nodes().dataNodes().values())  {  newNodes.add(node);  }  }  	HashSet<DiscoveryNode>  newNodes  =  new  HashSet<DiscoveryNode>(listedNodes);  
elasticsearch_024df242dc70a7e1b96a4a5afd61805fbd908d6c	buggy:  assertFalse( "backward  compatibility  tests  must  run  in  network  mode.  You  probably  have  a  system  property  overriding  the  test  settings ",  context:  .put(TransportModule.TRANSPORT_TYPE_KEY,  NettyTransport.class)  //  run  same  transport  /  disco  as  external  .put(DiscoveryModule.DISCOVERY_TYPE_KEY,  ZenDiscoveryModule.class)  .put( "node.mode ",   "network ")  //  we  need  network  mode  for  this  .put( "gateway.type ",   "local ")  //  we  require  local  gateway  to  mimic  upgrades  of  nodes  .put( "discovery.type ",   "zen ")  //  zen  is  needed  since  we  start  external  nodes  .put(TransportModule.TRANSPORT_SERVICE_TYPE_KEY,  TransportService.class.getName())  .build();  Tuple<Settings,  Environment>  finalSettings  =  InternalSettingsPreparer.prepareSettings(settings,  true);          assertFalse( "backward  compatibility  tests  must  run  in  network  mode.  You  probably  have  a  system  property  overriding  the  test  settings ",          assertFalse( "backward  compatibility  tests  must  run  in  network  mode.  You  probably  have  a  system  property  overriding  the  test  settings. ",  DiscoveryNode.localNode(finalSettings.v1()));  return  settings;  }  public  void  assertAllShardsOnNodes(String  index,  String  pattern)  {  ClusterState  clusterState  =  client().admin().cluster().prepareState().execute().actionGet().getState();  for  (IndexRoutingTable  indexRoutingTable  :  clusterState.routingTable())  {  for  (IndexShardRoutingTable  indexShardRoutingTable  :  indexRoutingTable)  {  	assertFalse( "backward  compatibility  tests  must  run  in  network  mode.  You  probably  have  a  system  property  overriding  the  test  settings. ",  
elasticsearch_c111e1ab80c37bd229123e32b49c37a41f90b6a0	buggy:  Query  facetQuery  =  indexQueryParser.parse(jp,  context.source());  context:  }  }  else  {  jp.nextToken();  //  move  to  START_OBJECT  jp.nextToken();  //  move  to  FIELD_NAME  String  facetType  =  jp.getCurrentName();  if  ( "query ".equals(facetType))  {  JsonIndexQueryParser  indexQueryParser  =  (JsonIndexQueryParser)  context.queryParser();                          Query  facetQuery  =  indexQueryParser.parse(jp,  context.source());                          Query  facetQuery  =  indexQueryParser.parse(jp);  if  (queryFacets  ==  null)  {  queryFacets  =  Lists.newArrayListWithCapacity(2);  }  queryFacets.add(new  SearchContextFacets.QueryFacet(topLevelFieldName,  facetQuery));  }  else  {  throw  new  SearchParseException(context,   "Unsupported  facet  type  [ "  +  facetType  +   "]  for  facet  name  [ "  +  topLevelFieldName  +   "] ");  }  	Query  facetQuery  =  indexQueryParser.parse(jp);  
elasticsearch_41c59c6b4993313772b5a5d8e9146e15ef250847	buggy:  CombineFunction  combineFunction  =  null;  context:  Query  query  =  null;  float  boost  =  1.0f;  FiltersFunctionScoreQuery.ScoreMode  scoreMode  =  FiltersFunctionScoreQuery.ScoreMode.Multiply;  ArrayList<FiltersFunctionScoreQuery.FilterFunction>  filterFunctions  =  new  ArrayList<FiltersFunctionScoreQuery.FilterFunction>();  float  maxBoost  =  Float.MAX_VALUE;  String  currentFieldName  =  null;  XContentParser.Token  token;          CombineFunction  combineFunction  =  null;          CombineFunction  combineFunction  =  CombineFunction.MULT;  while  ((token  =  parser.nextToken())  !=  XContentParser.Token.END_OBJECT)  {  if  (token  ==  XContentParser.Token.FIELD_NAME)  {  currentFieldName  =  parser.currentName();  }  else  if  ( "query ".equals(currentFieldName))  {  query  =  parseContext.parseInnerQuery();  }  else  if  ( "filter ".equals(currentFieldName))  {  query  =  new  XConstantScoreQuery(parseContext.parseInnerFilter());  }  else  if  ( "score_mode ".equals(currentFieldName)  ||   "scoreMode ".equals(currentFieldName))  {  	CombineFunction  combineFunction  =  CombineFunction.MULT;  
elasticsearch_5c237fe834625cdaa7f8850f4d565733ce78e687	buggy:  .addAggregation(histogram( "histo ").field( "value ").interval(1l).emptyBuckets(true).subAggregation(extendedStats( "stats ")))  context:  sumOfSqrs  +=  val  *  val;  }  return  (sumOfSqrs  -  ((sum  *  sum)  /  vals.length))  /  vals.length;  }  public  void  testEmptyAggregation()  throws  Exception  {  SearchResponse  searchResponse  =  client().prepareSearch( "empty_bucket_idx ")  .setQuery(matchAllQuery())                  .addAggregation(histogram( "histo ").field( "value ").interval(1l).emptyBuckets(true).subAggregation(extendedStats( "stats ")))                  .addAggregation(histogram( "histo ").field( "value ").interval(1l).minDocCount(0).subAggregation(extendedStats( "stats ")))  .execute().actionGet();  assertThat(searchResponse.getHits().getTotalHits(),  equalTo(2l));  Histogram  histo  =  searchResponse.getAggregations().get( "histo ");  assertThat(histo,  notNullValue());  Histogram.Bucket  bucket  =  histo.getByKey(1l);  assertThat(bucket,  notNullValue());  	.addAggregation(histogram( "histo ").field( "value ").interval(1l).minDocCount(0).subAggregation(extendedStats( "stats ")))  
elasticsearch_cc83c2f848be69a77f1275fe1ff5363dcdd4c955	buggy:  logger.trace( "[{}]  executed  [{}]/[{}],  took  [{}] ",  executionId,  request.numberOfActions(),  new  ByteSizeValue(request.estimatedSizeInBytes()),  response.took());  context:  public  void  beforeBulk(long  executionId,  BulkRequest  request)  {  if  (logger.isTraceEnabled())  {  }  }  public  void  afterBulk(long  executionId,  BulkRequest  request,  BulkResponse  response)  {  if  (logger.isTraceEnabled())  {                  logger.trace( "[{}]  executed  [{}]/[{}],  took  [{}] ",  executionId,  request.numberOfActions(),  new  ByteSizeValue(request.estimatedSizeInBytes()),  response.took());                  logger.trace( "[{}]  executed  [{}]/[{}],  took  [{}] ",  executionId,  request.numberOfActions(),  new  ByteSizeValue(request.estimatedSizeInBytes()),  response.getTook());  }  if  (response.hasFailures())  {  }  }  public  void  afterBulk(long  executionId,  BulkRequest  request,  Throwable  e)  {  	logger.trace( "[{}]  executed    [{}]/[{}],  took  [{}] ",  executionId,  request.numberOfActions(),  new  ByteSizeValue(request.estimatedSizeInBytes()),  response.getTook());  
libgdx_1336ba17a2a983eb333c337290d8f2e5cea73008	buggy:  lightManager.applyAmbient(shader);  context:  flush();  }  private  void  flush()  {  drawing  =  false;  lightManager.applyAmbient(shader);  lightManager.applyGlobalLights(shader);  for  (int  i  =  0;  i  <  stillModelQueue.size;  i++)  {  final  StillModelInstance  instance  =  stillModelInstances.items[i];  	lightManager.applyGlobalLights(shader);  
elasticsearch_0e2d33b4a446af033db48284737a62b9cc8c99bb	buggy:  return  new  InternalTopHits(name,  topHitsContext.size(),  topHitsContext.sort(),  Lucene.EMPTY_TOP_DOCS,  InternalSearchHits.empty());  context:  FieldDoc  fieldDoc  =  (FieldDoc)  scoreDoc;  searchHitFields.sortValues(fieldDoc.fields);  }  }  return  new  InternalTopHits(name,  topHitsContext.from(),  topHitsContext.size(),  topHitsContext.sort(),  topDocs,  fetchResult.hits());  }  }  public  InternalAggregation  buildEmptyAggregation()  {          return  new  InternalTopHits(name,  topHitsContext.size(),  topHitsContext.sort(),  Lucene.EMPTY_TOP_DOCS,  InternalSearchHits.empty());          return  new  InternalTopHits(name,  topHitsContext.from(),  topHitsContext.size(),  topHitsContext.sort(),  Lucene.EMPTY_TOP_DOCS,  InternalSearchHits.empty());  }  public  void  collect(int  docId,  long  bucketOrdinal)  throws  IOException  {  TopDocsCollector  topDocsCollector  =  topDocsCollectors.get(bucketOrdinal);  if  (topDocsCollector  ==  null)  {  Sort  sort  =  topHitsContext.sort();  int  topN  =  topHitsContext.from()  +  topHitsContext.size();  	return  new  InternalTopHits(name,  topHitsContext.from(),  topHitsContext.size(),  topHitsContext.sort(),  Lucene.EMPTY_TOP_DOCS,  InternalSearchHits.empty());  
elasticsearch_30acba624dd7ca1dfccbad9e8fe5a95ae325dc9a	buggy:  collector  =  Lucene.wrapTimeLimitingCollector(collector,  searchContext.timeoutInMillis());  context:  }  public  void  search(List<AtomicReaderContext>  leaves,  Weight  weight,  Collector  collector)  throws  IOException  {  final  boolean  timeoutSet  =  searchContext.timeoutInMillis()  !=  -1;  final  boolean  terminateAfterSet  =  searchContext.terminateAfter()  !=  SearchContext.DEFAULT_TERMINATE_AFTER;  if  (timeoutSet)  {              collector  =  Lucene.wrapTimeLimitingCollector(collector,  searchContext.timeoutInMillis());              collector  =  Lucene.wrapTimeLimitingCollector(collector,  searchContext.timeEstimateCounter(),  searchContext.timeoutInMillis());  }  if  (terminateAfterSet)  {  collector  =  Lucene.wrapCountBasedEarlyTerminatingCollector(collector,  searchContext.terminateAfter());  }  if  (currentState  ==  Stage.MAIN_QUERY)  {  if  (searchContext.parsedPostFilter()  !=  null)  {  	collector  =  Lucene.wrapTimeLimitingCollector(collector,  searchContext.timeEstimateCounter(),  searchContext.timeoutInMillis());  
elasticsearch_f25eebb249c6c41f1db8835470ef51481dd4a491	buggy:  stream.cleanup();  context:  }  else  if  (streamType.equals( "firehose "))  {  stream.firehose(0);  }  else  {  stream.sample();  }  }  if  (stream  !=  null)  {              stream.cleanup();              stream.cleanUp();  stream.shutdown();  }  }  private  class  StatusHandler  extends  StatusAdapter  {  if  (logger.isTraceEnabled())  {  	stream.cleanUp();  
elasticsearch_9539661d40d5eb219f68e1298feddb9359b4a14d	buggy:  public  Facet  reduce(String  name,  List<Facet>  facets)  {  context:  }  return  other;  }  public  long  getOtherCount()  {  return  otherCount();  }      public  Facet  reduce(String  name,  List<Facet>  facets)  {      public  Facet  reduce(List<Facet>  facets)  {  if  (facets.size()  ==  1)  {  return  facets.get(0);  }  InternalDoubleTermsFacet  first  =  (InternalDoubleTermsFacet)  facets.get(0);  TDoubleIntHashMap  aggregated  =  CacheRecycler.popDoubleIntMap();  long  missing  =  0;  long  total  =  0;  for  (Facet  facet  :  facets)  {  	public  Facet  reduce(List<Facet>  facets)  {  
elasticsearch_6b026119718a616fc76578aff3b20ceda023d403	buggy:  reader  =  new  SlowCompositeReaderWrapper(DirectoryReader.open(directory));  context:  directory  =  new  RAMDirectory();  IndexWriter  writer  =  new  IndexWriter(directory,  new  IndexWriterConfig(Lucene.VERSION,  new  WhitespaceAnalyzer(Lucene.VERSION)));  addDoc(writer,   "admin  guest ",   "010 ",   "20040101 ",   "Y ");  addDoc(writer,   "guest ",   "020 ",   "20040101 ",   "Y ");  addDoc(writer,   "guest ",   "020 ",   "20050101 ",   "Y ");  addDoc(writer,   "admin ",   "020 ",   "20050101 ",   "Maybe ");  addDoc(writer,   "admin  guest ",   "030 ",   "20050101 ",   "N ");  writer.close();          reader  =  new  SlowCompositeReaderWrapper(DirectoryReader.open(directory));          reader  =  SlowCompositeReaderWrapper.wrap(DirectoryReader.open(directory));  writer.close();  }  public  void  tearDown()  throws  Exception  {  reader.close();  directory.close();  }  	reader  =  SlowCompositeReaderWrapper.wrap(DirectoryReader.open(directory));  
elasticsearch_941ffe0bf90ac285057a241053e709f7b79df217	buggy:  table.addCell(masterId.equals(node.id())  ?   "* "  :  node.masterNode()  ?   "m "  :   "- ");  context:  table.addCell(info  ==  null  ?  null  :  info.getJvm().version());  table.addCell(stats  ==  null  ?  null  :  stats.getFs()  ==  null  ?  null  :  stats.getFs().total().getAvailable());  table.addCell(stats  ==  null  ?  null  :  stats.getJvm().getMem().getHeapUsedPrecent());  table.addCell(info  ==  null  ?  null  :  info.getJvm().getMem().getHeapMax());  table.addCell(stats  ==  null  ?  null  :  stats.getOs().mem()  ==  null  ?  null  :  stats.getOs().mem().usedPercent());  table.addCell(info  ==  null  ?  null  :  info.getOs().mem()  ==  null  ?  null  :  info.getOs().mem().total());  //  sigar  fails  to  load  in  IntelliJ  table.addCell(stats  ==  null  ?  null  :  stats.getOs()  ==  null  ?  null  :  stats.getOs().getLoadAverage().length  <  1  ?  null  :  String.format(Locale.ROOT,   "%.2f ",  stats.getOs().getLoadAverage()[0]));  table.addCell(stats  ==  null  ?  null  :  stats.getJvm().uptime());  table.addCell(node.clientNode()  ?   "c "  :  node.dataNode()  ?   "d "  :   "- ");              table.addCell(masterId.equals(node.id())  ?   "* "  :  node.masterNode()  ?   "m "  :   "- ");              table.addCell(masterId  ==  null  ?   "x "  :  masterId.equals(node.id())  ?   "* "  :  node.masterNode()  ?   "m "  :   "- ");  table.addCell(node.name());  table.addCell(stats  ==  null  ?  null  :  stats.getIndices().getCompletion().getSize());  table.addCell(stats  ==  null  ?  null  :  stats.getIndices().getFieldData().getMemorySize());  table.addCell(stats  ==  null  ?  null  :  stats.getIndices().getFieldData().getEvictions());  table.addCell(stats  ==  null  ?  null  :  stats.getIndices().getFilterCache().getMemorySize());  	table.addCell(masterId  ==  null  ?   "x "  :  masterId.equals(node.id())  ?   "* "  :  node.masterNode()  ?   "m "  :   "- ");  
